igdb_id,name,first_release_date_ts,first_release_date_ymd,genres,themes,game_modes,player_perspectives,franchises,collection,platforms,aggregated_rating
6979,E.V.O.: Search for Eden,724896000,1992-12-21,Platform; Role-playing (RPG); Hack and slash/Beat 'em up,Action; Fantasy; Science fiction; Survival; Historical,Single player,Side view,,,Super Nintendo Entertainment System; Super Famicom,
42301,AIII S.V.: Take the A-Train 3 S.V.,812332800,1995-09-29,Simulator,Business; Sandbox,Single player,Bird view / Isometric,,,Super Famicom,
63844,Ace wo Nerae!,756518400,1993-12-22,Sport,Action,Single player; Multiplayer; Split screen,Third person,Aim for the Ace!,,Super Famicom,
46770,Acrobat Mission,678326400,1991-07-01,Shooter; Arcade,Science fiction,Single player,Third person; Bird view / Isometric,,,Arcade; Super Nintendo Entertainment System; Super Famicom,
38352,Action Pachio,734313600,1993-04-09,Platform,Action,Single player,Side view,,,Super Famicom,
49256,Aero the Acro-Bat,1017619200,2002-04-01,Platform,Action; Fantasy; Comedy,Single player,Side view,,,Game Boy Advance,
5352,After Burner II,567907200,1987-12-31,Shooter; Arcade,,Single player,Third person,,,Family Computer Disk System; Arcade; Sharp X68000; Sega Mega Drive/Genesis; Atari ST/STE; TurboGrafx-16/PC Engine; Amiga; Sega Saturn; Nintendo Entertainment System,
7747,Aguri Suzuki F-1 Super Driving,711072000,1992-07-14,Racing,,Single player; Multiplayer; Split screen,Third person,,,Super Nintendo Entertainment System; Game Boy; Super Famicom,
8448,Maui Mallard in Cold Shadow,818380800,1995-12-08,Platform; Arcade,Action; Fantasy; Comedy,Single player,Side view,Donald Duck; Disney,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; PC (Microsoft Windows); Super Famicom,
38196,Super Ice Hockey,764553600,1994-03-25,Sport,,,,,,Super Nintendo Entertainment System,
72032,Disney's Timon & Pumbaa's Jungle Games,818985600,1995-12-15,Arcade,Comedy; Party,Single player; Multiplayer,Side view,Disney; Disney's The Lion King,,Super Nintendo Entertainment System; PC (Microsoft Windows),
289866,Pro Football,1734393600,2024-12-17,Simulator; Sport; Strategy,,Single player,Text,,,Linux; PC (Microsoft Windows); Mac,
42383,Snoopy Concert,800841600,1995-05-19,Point-and-click; Adventure,Action; Comedy; Kids,Single player,Side view,Peanuts,,Super Famicom,
38425,Super Battletank 2,728524800,1993-02-01,Simulator,Action,,,,,Super Nintendo Entertainment System,
45878,Star Trek: Starfleet Academy - Starship Bridge Simulator,786240000,1994-12-01,Simulator; Strategy,Science fiction,Single player,Side view,Star Trek,,Super Nintendo Entertainment System; Sega 32X,
705,FIFA: Road to World Cup 98,880848000,1997-11-30,Sport,Non-fiction,Single player; Multiplayer,Bird view / Isometric,FIFA,,Nintendo 64; PC (Microsoft Windows); PlayStation,
3285,Gekisou Sentai Carranger: Zenkai! Racer Senshi,840758400,1996-08-23,Platform; Hack and slash/Beat 'em up,Action,Single player,Side view,Power Rangers; Super Sentai,,Super Famicom,
42221,Super Trump Collection,798422400,1995-04-21,Sport; Turn-based strategy (TBS); Card & Board Game,,,,,,Super Famicom,
37820,Super Keirin,805680000,1995-07-14,Racing; Simulator; Sport,,,,,,Super Famicom,
56417,Genocide 2: Genocide Square,735955200,1993-04-28,Platform,Action; Science fiction,Single player,Side view,,,FM Towns,
42479,NHLPA Hockey 93,715305600,1992-09-01,Sport,Non-fiction,Single player; Multiplayer,Bird view / Isometric,NHL; NHLPA,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis,
560,Aliens vs. Predator,1266278400,2010-02-16,Shooter,Action; Science fiction; Horror; Survival,Single player; Multiplayer; Co-operative,First person,Alien; Predator; Alien vs. Predator,,PlayStation 3; PC (Microsoft Windows); Xbox 360,74.0
37854,Super Professional Baseball II,713145600,1992-08-07,Sport,,Single player,Bird view / Isometric,,,Super Famicom,
71214,First Samurai,688953600,1991-11-01,Fighting; Platform; Adventure; Arcade,Action,Single player,Side view,,,Commodore C64/128/MAX; Super Nintendo Entertainment System; Atari ST/STE; PC (Microsoft Windows); iOS; DOS; Amiga,
82102,2 in 1 I Asterix & Obelix: Bash Them All! + Asterix & Obelix XXL,1119484800,2005-06-23,Hack and slash/Beat 'em up; Adventure,Action; Fantasy; Comedy,Single player,Third person,Asterix,,Game Boy Advance,
114033,Taekwon-do,772761600,1994-06-28,Fighting; Sport,Action; Non-fiction,Single player,Side view,,,Super Nintendo Entertainment System; Super Famicom,
18067,Demon's Crest,782697600,1994-10-21,Platform; Role-playing (RPG); Adventure,Action; Fantasy; Horror,Single player,Side view,Ghosts 'n Goblins,,Super Nintendo Entertainment System; Wii U; New Nintendo 3DS; Super Famicom,
1073,Super Mario World 2: Yoshi's Island,807580800,1995-08-05,Platform,Action; Fantasy; Kids,Single player; Multiplayer,Side view,Mario Bros.; Mario; Yoshi,,Satellaview; Super Nintendo Entertainment System; Super Famicom,100.0
240915,Super Robot Taisen EX,928972800,1999-06-10,Strategy,Science fiction,Single player,Bird view / Isometric,Super Robot Wars; Gundam,,PlayStation,
42212,Brandish 2: The Planet Buster,731894400,1993-03-12,Role-playing (RPG),Action; Fantasy,Single player,Bird view / Isometric,,,PC-9800 Series; Super Famicom,
4389,Spider-Man and the X-Men in Arcade's Revenge,720576000,1992-11-01,Platform,Action,Single player,Side view,Spider-Man; Marvel; X-Men,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis,
46681,Garry Kitchen's Super Battletank: War in the Gulf,725760000,1992-12-31,Simulator,Action,Single player,First person,,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; Sega Game Gear; Game Boy,
276017,Breath of Fire,994377600,2001-07-06,Role-playing (RPG),Action; Fantasy,Single player,Bird view / Isometric,,,Game Boy Advance,
42254,Dragon's Earth,727660800,1993-01-22,Real Time Strategy (RTS); Strategy,,,,,,Super Famicom,
77378,Super Mario All-Stars + Super Mario World,786240000,1994-12-01,Platform,Action,Single player; Multiplayer,Side view,Mario,,Super Nintendo Entertainment System,
20134,NBA Live 97,846720000,1996-10-31,Sport,,Single player; Multiplayer,Bird view / Isometric,NBA,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; Sega Saturn; PlayStation,80.0
97118,Gon,784512000,1994-11-11,Platform,Fantasy,Single player,Third person; Side view,Gon,,Super Famicom,
32601,Dorke and Ymp,1438819200,2015-08-06,Platform; Adventure; Indie,Action; Fantasy,Single player,Side view,,,Super Nintendo Entertainment System; PC (Microsoft Windows),
249148,Tintin in Tibet,1009756800,2001-12-31,,,,,Adventures of Tintin,,Game Boy Color,
1741,Mega Man X,756086400,1993-12-17,Shooter; Platform; Adventure,Action; Science fiction,Single player,Side view,Mega Man,,Super Nintendo Entertainment System; Nintendo 3DS; Wii; iOS; DOS; Wii U; New Nintendo 3DS; Super Famicom,85.0
307353,Rocket Crowbar,946598400,1999-12-31,Shooter,Science fiction,Multiplayer,First person,,,Linux; PC (Microsoft Windows),
38019,Genjuu Ryodan,896659200,1998-06-01,Strategy; Turn-based strategy (TBS); Adventure,Fantasy,Single player; Multiplayer,Bird view / Isometric,,,Super Famicom,
4492,Urban Strike: The Sequel to Jungle Strike,788832000,1994-12-31,Shooter,Action,Single player,Bird view / Isometric,,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis,
42581,Skyblazer,757382400,1994-01-01,Platform,Action; Historical,Single player,Side view,,,Super Nintendo Entertainment System; Super Famicom,
74032,Special Edition Pinball Dreams Pinball Fantasies,788832000,1994-12-31,Simulator; Pinball,,,,,,DOS; Amiga,
282484,True Lies,791596800,1995-02-01,Shooter,Action,Single player,Bird view / Isometric,,,Sega Game Gear,
167154,Primal Rage II,,,Fighting,Fantasy; Science fiction; Historical,Single player; Multiplayer,Side view,,,Arcade; PC (Microsoft Windows),
213885,Syndicate,802656000,1995-06-09,Strategy; Tactical,Action; Science fiction,Single player,Bird view / Isometric,,,3DO Interactive Multiplayer,
323388,Injustice 2: John Stewart,1494720000,2017-05-14,Fighting,Action,Single player; Multiplayer,Side view,,,PC (Microsoft Windows); PlayStation 4,
135268,The Super Mario Bros. Super Show! 64,1539302400,2018-10-12,Platform,Action; Comedy,Single player,Third person,,,Nintendo 64,
72812,Inazuma Eleven: Victory Road,1763078400,2025-11-14,Role-playing (RPG); Sport,Action; Fantasy,Single player; Multiplayer,Bird view / Isometric,Inazuma Eleven,,Xbox Series X|S; PlayStation 4; Nintendo Switch 2; Android; PC (Microsoft Windows); iOS; PlayStation 5; Nintendo Switch,
287084,Williams Arcade's Greatest Hits,825638400,1996-03-01,Arcade,,,,,,Sega Saturn; PlayStation,
222820,Aretha,658713600,1990-11-16,Role-playing (RPG),Action; Fantasy,Single player,Bird view / Isometric; Side view,,,Game Boy,
136080,Worms Battlegrounds + Worms W.M.D,1571270400,2019-10-17,Strategy,Action,Single player; Multiplayer; Co-operative,,,,PlayStation 4; Xbox One,
45781,PGA Tour Golf III,760060800,1994-02-01,Simulator; Sport; Strategy,,,,,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis,
28389,Plok,746841600,1993-09-01,Platform,Action; Fantasy; Comedy,Single player,Side view,,,Super Nintendo Entertainment System; Super Famicom,
1253,The Lost Vikings 2,857001600,1997-02-27,Platform; Puzzle,Action; Fantasy; Science fiction,Single player; Co-operative,Side view,,,Super Nintendo Entertainment System,
5405,NHL '94,749433600,1993-10-01,Simulator; Sport,,Single player,Bird view / Isometric,NHL,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; DOS; Sega CD,
6621,Super Ghouls'n Ghosts,686534400,1991-10-04,Platform; Adventure,Action; Fantasy; Horror,Single player,Side view,Ghosts 'n Goblins,,Web browser; Super Nintendo Entertainment System; Wii; Wii U; New Nintendo 3DS; Super Famicom,70.0
242310,Pinball Fantasies,820368000,1995-12-31,Pinball,,Single player,Bird view / Isometric,,,Game Boy,
37832,Super Gomoku Narabe: Renju,764553600,1994-03-25,Sport; Quiz/Trivia,,,,,,Satellaview; Super Famicom,
198998,Batman Forever,820368000,1995-12-31,,Action,Single player,,Batman; DC Comics,,R-Zone,
42506,King Arthur's World,733622400,1993-04-01,Puzzle; Strategy,Fantasy,,,,,Super Nintendo Entertainment System,
1498,Front Mission,793584000,1995-02-24,Strategy; Tactical,Fantasy; Science fiction; Historical,Single player,Bird view / Isometric,Front Mission,,WonderSwan Color; Super Famicom,70.0
42617,Lagoon,653097600,1990-09-12,Role-playing (RPG),Fantasy,Single player,Bird view / Isometric,,,Sharp X68000; Super Nintendo Entertainment System; Super Famicom,
38130,Doraemon: Nobita to Yousei no Kuni,730080000,1993-02-19,Adventure,Action; Science fiction; Comedy,Single player,Side view,Doraemon,,Super Famicom,
198669,Disney's Aladdin,757296000,1993-12-31,,Fantasy,Single player,,Disney's Aladdin; Disney,,Handheld Electronic LCD,
330214,Super Metroid Arcade,1506816000,2017-10-01,Platform; Arcade,Action; Science fiction,,,,,Super Nintendo Entertainment System,
346267,Cliffhanger,757296000,1993-12-31,Platform,Action,Single player,Side view,Cliffhanger,,Sega Game Gear,
280811,Disney's Beauty and the Beast,788832000,1994-12-31,Platform,Action; Fantasy,Single player,Side view,Disney's Beauty and the Beast; Disney,,Nintendo Entertainment System,
284101,Mortal Kombat 3,,,Fighting,Action,Single player; Multiplayer,Side view,,,Family Computer,
1726,Mega Man & Bass,893376000,1998-04-24,Shooter; Platform; Adventure,Action; Science fiction,Single player,Side view,Mega Man,,Wii U; Game Boy Advance; Super Famicom,
1534,Pocky & Rocky,724982400,1992-12-22,Shooter,Action,Single player; Multiplayer; Co-operative,Side view,,,Satellaview; Super Nintendo Entertainment System; Super Famicom,
262153,Last Action Hero,749433600,1993-10-01,,,Single player,,Last Action Hero,,Game Boy,
20298,Revolution X,788832000,1994-12-31,Shooter,Action,Single player; Split screen,First person,,,Arcade; Super Nintendo Entertainment System; Sega Mega Drive/Genesis; PC (Microsoft Windows); Sega Saturn; PlayStation,10.0
4449,Brutal: Paws of Fury,780969600,1994-10-01,Fighting,,Single player; Multiplayer,Side view,,,Amiga CD32; Super Nintendo Entertainment System; Sega 32X; Sega Mega Drive/Genesis; DOS; Amiga; Sega CD,
47498,Inindo: Way of the Ninja,665366400,1991-02-01,Role-playing (RPG); Strategy; Adventure,Fantasy; Historical,Single player,Bird view / Isometric,,,PC-9800 Series; Sharp X68000; PC-8800 Series; Super Nintendo Entertainment System; DOS; FM Towns; MSX,
42613,Eek! The Cat,775699200,1994-08-01,Platform,Action; Comedy,,,,,Super Nintendo Entertainment System,
243453,Street Fighter Alpha 2,847065600,1996-11-04,Fighting; Adventure; Arcade,Action,Single player; Multiplayer,Side view,Street Fighter,,Super Nintendo Entertainment System; Wii; Wii U; New Nintendo 3DS; Super Famicom,
204616,Disney's The Jungle Book,774230400,1994-07-15,Platform,Action; Fantasy,Single player,Side view,Disney's The Jungle Book; Disney,,Super Nintendo Entertainment System; Super Famicom,
44437,Solid Runner,859507200,1997-03-28,Role-playing (RPG),Science fiction,Single player,Bird view / Isometric,,,Super Famicom,
99509,ACA Neo Geo: Magical Drop II,1497484800,2017-06-15,Puzzle; Arcade,Fantasy,Single player; Multiplayer,Side view,,,PlayStation 4; PC (Microsoft Windows); Xbox One; Nintendo Switch,
42557,F1 Pole Position 2,759369600,1994-01-24,Racing,,Single player,Third person,Formula 1,,Super Nintendo Entertainment System,
21023,Super Black Bass 3D,1360886400,2013-02-15,Simulator,,Single player,,,,Nintendo 3DS,
1720,Mega Man 7,796003200,1995-03-24,Shooter; Platform; Adventure,Action; Science fiction,Single player,Side view,Mega Man,,Super Nintendo Entertainment System; Nintendo 3DS; Wii U; New Nintendo 3DS; Super Famicom,
5404,Mickey Mania: The Timeless Adventures of Mickey Mouse,780969600,1994-10-01,Platform,Action; Fantasy,Single player,Side view,Mickey Mouse,,Super Nintendo Entertainment System; Super Famicom,
8121,The Adventures of Mighty Max,786931200,1994-12-09,Platform,Action,Single player,,,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis,
42456,Super International Cricket,760060800,1994-02-01,Simulator; Sport; Strategy,,Single player; Multiplayer; Split screen,,,,Super Nintendo Entertainment System,
147969,Stealth,1613174400,2021-02-13,Puzzle; Arcade,Action,Multiplayer,,,,Linux; PC (Microsoft Windows); Nintendo Switch,
9151,Super Punch-Out!!,782956800,1994-10-24,Fighting; Sport,Action; Comedy,Single player,Third person,Punch-Out!!,,Super Nintendo Entertainment System; Wii; Wii U; New Nintendo 3DS; Super Famicom,90.0
9619,Pilotwings,661737600,1990-12-21,Simulator; Sport,Action,Single player,Third person; Bird view / Isometric,,,Super Nintendo Entertainment System; Wii; Wii U; New Nintendo 3DS; Super Famicom,
44418,Dekitate High School,805075200,1995-07-07,Simulator,,,,,,Super Famicom,
265033,The Blues Brothers,715305600,1992-09-01,,,Single player,,The Blues Brothers,,Nintendo Entertainment System,
112875,God of War Ragnarök,1667952000,2022-11-09,Role-playing (RPG); Hack and slash/Beat 'em up; Adventure,Action; Fantasy; Open world,Single player,Third person,God of War,,PlayStation 4; PC (Microsoft Windows); PlayStation 5,94.61538461538461
1656,Final Fight 2,738028800,1993-05-22,Fighting; Hack and slash/Beat 'em up; Adventure; Arcade,Action,Single player; Multiplayer; Co-operative,Side view,Final Fight,,Super Nintendo Entertainment System; Wii; Wii U; New Nintendo 3DS; Super Famicom,
6349,Kid Klown in Crazy Chase,778377600,1994-09-01,Platform; Racing,Action; Comedy,Single player,Third person,,,Satellaview; Super Nintendo Entertainment System; Game Boy Advance; Super Famicom,
38389,Nangoku Shounen Papuwa-kun,764553600,1994-03-25,Platform; Hack and slash/Beat 'em up; Adventure,Action; Fantasy,Single player,Side view,Papuwa-kun,,Super Famicom,
95412,Battle Cross,786931200,1994-12-09,Racing,,Single player,Bird view / Isometric,,,Super Famicom,
4514,Art of Fighting,717292800,1992-09-24,Fighting; Arcade,Action,Single player; Multiplayer; Split screen,Third person; Side view,Art of Fighting,,Neo Geo AES; Arcade; PlayStation 3; Neo Geo MVS; PlayStation 4; Super Nintendo Entertainment System; Wii; Sega Mega Drive/Genesis; PC (Microsoft Windows); PlayStation Vita; PlayStation Portable; Neo Geo CD; Turbografx-16/PC Engine CD; Xbox One; Nintendo Switch; Super Famicom,
38320,Super Famicom Wars,893980800,1998-05-01,Strategy,Action; Warfare,Single player; Multiplayer,Bird view / Isometric,Wars,,Wii; Wii U; Super Famicom,
243989,Lemmings 2: The Tribes,788832000,1994-12-31,Puzzle; Strategy,Comedy,Single player,Side view,Lemmings,,FM Towns,
45227,Umihara Kawase Shun,857088000,1997-02-28,Platform; Puzzle,Action,Single player,Side view,,,PlayStation,
228792,Micro Machines 2: Turbo Tournament,788918400,1995-01-01,Racing,,Single player,Bird view / Isometric,,,Sega Game Gear,
81467,J.R.R. Tolkien's Lord of the Rings: Volume 1,780969600,1994-10-01,Role-playing (RPG),Action; Fantasy,Single player,Bird view / Isometric,The Lord of the Rings,,Super Nintendo Entertainment System,
242267,Battletoads / Double Dragon,754704000,1993-12-01,Hack and slash/Beat 'em up,Action; Science fiction,Single player; Multiplayer,Bird view / Isometric,Battletoads; Double Dragon,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis,
18618,Super Bomberman 3,799027200,1995-04-28,Strategy; Tactical,Action,Single player; Multiplayer; Co-operative,Bird view / Isometric,Bomberman,,Satellaview; Super Nintendo Entertainment System; Super Famicom,
18380,Pac-In-Time,786758400,1994-12-07,Platform,Action; Fantasy,Single player,Side view,Pac-Man,,DOS; Mac,
202585,Marmalade Boy,791164800,1995-01-27,Visual Novel,Romance,Single player,Text,Marmalade Boy,,Game Boy,
37944,Light Fantasy,710121600,1992-07-03,Role-playing (RPG),Fantasy,Single player,Bird view / Isometric,,,Super Famicom,
5550,Tactics Ogre: Let Us Cling Together,812937600,1995-10-06,Role-playing (RPG); Strategy; Turn-based strategy (TBS); Tactical; Adventure,Fantasy; Historical; Sandbox; Warfare; Romance,Single player,Bird view / Isometric,,,Satellaview; Wii; Sega Saturn; PlayStation; Super Famicom,92.0
38185,Battle Submarine,817776000,1995-12-01,Simulator; Strategy; Adventure,Science fiction,Single player,,,,Satellaview; Super Famicom,
15833,Chaos Seed: Feng Shui Kairouki,826848000,1996-03-15,Role-playing (RPG); Strategy,Action; Fantasy,Single player,Bird view / Isometric,,,Satellaview; Sega Saturn; Super Famicom,
42623,Claymates,753753600,1993-11-20,Platform; Pinball; Adventure,Science fiction,Single player,Side view,,,Super Nintendo Entertainment System,
42736,Ardy Lightfoot,754272000,1993-11-26,Platform,Action,Single player,Side view,,,Super Nintendo Entertainment System; Super Famicom,
156788,Super Duper Island Adventure,,,Adventure,,,,,,,
18613,GP-1,740966400,1993-06-25,Racing,Action,Single player; Split screen,Third person,,,Super Nintendo Entertainment System,
324956,The Atlas: Renaissance Voyager,763603200,1994-03-14,Simulator; Strategy,Historical; Open world,Single player,Bird view / Isometric,,,Wii; Turbografx-16/PC Engine CD,
11313,Romancing SaGa 3,816048000,1995-11-11,Role-playing (RPG),Fantasy,Single player,Bird view / Isometric,SaGa,,Wii; Super Famicom,
37982,Houkago in Beppin Jogakuin,791769600,1995-02-03,Simulator; Strategy,Drama,Single player,Side view; Text,,,Super Famicom,
217684,RoboCop 3,725760000,1992-12-31,,,,,RoboCop,,Handheld Electronic LCD,
42348,Zico Soccer,762739200,1994-03-04,Simulator; Sport,Non-fiction,Single player; Multiplayer,Bird view / Isometric,,,Super Famicom,
215181,Casper,858297600,1997-03-14,,Fantasy; Horror,Single player,,Casper The Friendly Ghost,,Super Famicom,
42342,Bishoujo Senshi Sailor Moon S: Kurukkurin,793584000,1995-02-24,Puzzle,,,,,,Super Famicom,
4259,Rise of the Robots,785116800,1994-11-18,Fighting,Science fiction,Single player; Multiplayer,Side view,,,Arcade; Amiga CD32; Philips CD-i; Super Nintendo Entertainment System; Sega Mega Drive/Genesis; 3DO Interactive Multiplayer; DOS; Amiga,
42490,Michael Jordan: Chaos in the Windy City,785376000,1994-11-21,Platform; Sport,Action; Horror,Single player,Side view,,,Super Nintendo Entertainment System,
2162,Zombies Ate My Neighbors,748828800,1993-09-24,Shooter; Hack and slash/Beat 'em up,Action; Science fiction; Horror; Comedy,Single player; Multiplayer; Co-operative,Bird view / Isometric,Zombies Ate My Neighbors,,Super Nintendo Entertainment System; Wii; Sega Mega Drive/Genesis,
198801,Disney's The Lion King,788832000,1994-12-31,,,Single player,Side view,Disney's The Lion King,,Handheld Electronic LCD,
1124,Super Castlevania IV,688867200,1991-10-31,Platform; Adventure,Action; Horror,Single player,Side view,Castlevania,,Super Nintendo Entertainment System; Wii; Wii U; New Nintendo 3DS; Super Famicom,100.0
84918,Earth Defense Force,688348800,1991-10-25,Shooter,Action; Science fiction,Single player,Bird view / Isometric,Earth Defense Force,,Arcade; Satellaview; Super Nintendo Entertainment System; Wii; iOS; Wii U; Nintendo Switch; Super Famicom,
39039,Super Putty,725760000,1992-12-31,Platform,Action; Comedy,Single player,Side view,,,Super Nintendo Entertainment System; Amiga CD32,
1178,Lufia II: Rise of the Sinistrals,793584000,1995-02-24,Puzzle; Role-playing (RPG),Fantasy,Single player,Side view,,,Super Nintendo Entertainment System; Super Famicom,
42662,A.S.P.: Air Strike Patrol,761529600,1994-02-18,Shooter,Warfare,Single player,Bird view / Isometric,,,Super Nintendo Entertainment System; Super Famicom,
42612,Ghoul Patrol,786240000,1994-12-01,Shooter; Adventure,,Single player,Bird view / Isometric,,,Super Nintendo Entertainment System; Wii,
37791,Tekichuu Keiba Juku,820454400,1996-01-01,Racing; Sport,Non-fiction,,,,,Satellaview; Super Famicom,
65990,Smurfs Save the Day: Handy Smurf,441676800,1983-12-31,,Comedy; Educational,,,The Smurfs,,Atari 2600,
38125,Touge Densetsu: Saisoku Battle,826848000,1996-03-15,Racing,,Single player; Split screen,Third person,,,Super Famicom,
7804,Bubsy in Claws Encounters of the Furred Kind,736214400,1993-05-01,Platform,Fantasy; Comedy,Single player,Side view,,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; Super Famicom,
27525,Lamborghini: American Challenge,757296000,1993-12-31,Racing,Non-fiction,Single player; Multiplayer; Co-operative,Third person,,,Amiga CD32; Super Nintendo Entertainment System; DOS; Game Boy,
231006,Street Fighter II,873072000,1997-09-01,Fighting,Action,Single player; Multiplayer,Side view,Street Fighter,,Sega Master System/Mark III,
218750,Super Smash T.V.,694137600,1991-12-31,Shooter; Arcade,Action; Science fiction,Single player; Multiplayer,Bird view / Isometric,,,Sega Mega Drive/Genesis,
217942,World Cup USA 94,788832000,1994-12-31,Sport,,Single player,Third person,FIFA,,Handheld Electronic LCD,
11665,Young Merlin,762480000,1994-03-01,Puzzle; Role-playing (RPG),Action; Fantasy,Single player,,,,Super Nintendo Entertainment System,
9861,International Superstar Soccer,784512000,1994-11-11,Sport,Non-fiction,Single player; Multiplayer; Co-operative,Bird view / Isometric,International Superstar Soccer,,Super Nintendo Entertainment System; Super Famicom,
4455,Izzy's Quest for the Olympic Rings,851990400,1996-12-31,Platform,Action,Single player,Side view,Olympic Games,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis,
38161,Battle Racers,795398400,1995-03-17,Racing,Action; Science fiction,Single player; Multiplayer; Split screen,Third person,Gundam; Ultraman; Kamen Rider,,Super Famicom,
133313,Tetris Attack,838857600,1996-08-01,Puzzle,Fantasy; Kids,Single player; Multiplayer,Side view,Panel de Pon; Yoshi; Tetris,,Game Boy,
3656,Kirby's Dream Course,780105600,1994-09-21,Puzzle; Sport,Action; Fantasy,Single player; Multiplayer; Split screen,Bird view / Isometric; Side view,Kirby,,Super Nintendo Entertainment System; Wii; Wii U; New Nintendo 3DS; Super Famicom,70.0
23091,Theme Park,1174608000,2007-03-23,Simulator,Business,Single player,Bird view / Isometric,,,Nintendo DS,70.0
46231,Brett Hull Hockey 95,760060800,1994-02-01,Sport,,Single player,Bird view / Isometric,,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; DOS,
38374,Magna Braban: Henreki no Yuusha,787708800,1994-12-18,Role-playing (RPG),Fantasy,Single player,Bird view / Isometric,,,Super Famicom,
9633,Terranigma,813369600,1995-10-11,Role-playing (RPG); Adventure,Action; Fantasy,Single player,Bird view / Isometric,,,Satellaview; Super Nintendo Entertainment System; Super Famicom,
42423,Joushou Mahjong Tenpai,812332800,1995-09-29,Sport; Quiz/Trivia; Card & Board Game,,Single player,Bird view / Isometric,,,Satellaview; Super Famicom,
174187,Battle Pinball,785721600,1994-11-25,Pinball,,Single player; Multiplayer,Bird view / Isometric,,,3DO Interactive Multiplayer,
42621,The Firemen,779068800,1994-09-09,Shooter; Adventure,Action; Survival,Single player; Multiplayer,Bird view / Isometric,,,Satellaview; Super Nintendo Entertainment System; Super Famicom,
8050,Tiny Toon Adventures: Buster Busts Loose!,724636800,1992-12-18,Platform; Sport,Action; Comedy,Single player,Side view,Tiny Toon Adventures,,Super Nintendo Entertainment System; Super Famicom,
153771,Jimmy Connors Pro Tennis Tour,725760000,1992-12-31,Sport,Non-fiction,Single player; Multiplayer,Bird view / Isometric,,,Super Nintendo Entertainment System; Super Famicom,
